Brand Name,function,Review,Discounted Price,First Price,Off
Fastrack,Limitless Glide Advanced UltraVU HD Display|BT Calling|Advance Chipset|85+ Sports Modes & Watchfaces|Voice Assistant|24 * 7 Health Suite|IP67 Smartwatch,3.9 out of 5 stars,1299,"₹2,799",54% off
Fire-Boltt,"Ninja Call Pro Max 51.05mm (2.01 inch) Display Smart Watch, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Black)",3.9 out of 5 stars,1399,"₹14,999",91% off
Like,"Star® T800 Ultra Smart Watch with Beautiful Strap, Bluetooth Calling Smart Watch, 1.99 Touch Display with Fitness & Outdoor, Health & Medical Tracker, 8 Unique UI Interactions (Black)",3.7 out of 5 stars,578,"₹1,499",61% off
Noise,"Twist Go Bluetooth Calling Smart Watch for Women with Sleek Metal Dial, Glossy Finish, 1.39 Display, 100+ Watch Faces, IP68, Sleep Tracking, Voice Assistance, Upto 7 Days Battery (Gold Link)",4.0 out of 5 stars,1599,"₹4,999",68% off
INVICTO,"T800 Ultra Series Big 1.9inch Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking (Black)",3.4 out of 5 stars,499,₹999,50% off
Noise,"Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69 TFT Display, SpO2, 100 Sports Mode with Auto Detection, Upto 7 Days Battery (2 Days with Heavy Calling) - Jet Black",4.1 out of 5 stars,1219,"₹4,999",76% off
boAt,"Flash Edition Smart Watch w/Activity Tracker, Multiple Sports Modes, 1.3 (3.3 cm) Screen, 170+ Watch Faces, Sleep Monitor,Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)",3.8 out of 5 stars,899,"₹6,990",87% off
Noise,"Twist Round dial Smart Watch with Bluetooth Calling, 1.38 TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",4.0 out of 5 stars,1429,"₹4,999",71% off
boAt,"Storm Call 3 w/Turn-by-Turn Navigation, 1.83 (4.6 cm) HD Display, Bluetooth Calling, Crest+ OS, QR Tray, Watch Face Studio, Coins, Emergency SOS Smart Watch for Men & Women(Active Black)",4.1 out of 5 stars,1199,"₹8,449",86% off
Noise,"Twist Go Round dial Smartwatch with BT Calling, 1.39 Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Elite Black)",4.0 out of 5 stars,1799,"₹5,999",70% off
boAt,"Xtend Call Plus Smart Watch w/ 1.91 HD Display, Advanced BT Calling, Coins, ENx Tech, HR & SpO2, English & Hindi Languages, Multiple Watch Faces,100+Sports Modes(Deep Purple)",4.0 out of 5 stars,949,"₹8,499",89% off
Noise,"Quad Call 1.81 Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Elite Black)",4.0 out of 5 stars,1529,"₹6,999",78% off
M,"I D116 Fitness Band Smart Watch for Men, Women, Boys, Girls, Kids – Single Touch Interface, Water Resistant, Workout Modes, Quick Charge Sports Smartwatch – Black I",3.9 out of 5 stars,449,"₹2,999",85% off
Fire-Boltt,"Phoenix Pro 35.3mm (1.39 inch) Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Black)",4.0 out of 5 stars,1499,"₹11,999",88% off
Noise,"New Macro Smart Watch with 2.0” HD Display,Metallic Finish BT Calling, Functional Crown, 7 Days Battery Life, Sleep Tracking, 200+ Watch Faces (Elite Black)",4.0 out of 5 stars,2039,"₹7,999",75% off